,sent_id,sent,phrase_id,phrase,phrase_span,entity_id,entity,CE,label
0,24,"Electrolyte disturbances may occur in pSS, such as renal distal tubular acidosis, diabetes insipidus, Gitelman syndrome or Fanconi syndrome.",1,Fanconi syndrome,"(123, 139)",0,Fanconi syndrome,cause,DISEASE
0,24,"Electrolyte disturbances may occur in pSS, such as renal distal tubular acidosis, diabetes insipidus, Gitelman syndrome or Fanconi syndrome.",0,may occur in pSS,"(25, 41)",0,pSS,effect,DISEASE
0,25,These results suggest that the following diagnostic procedure for Sjogrens syndrome would reduce burden on patients.,0,the following diagnostic procedure for Sjogrens syndrome,"(27, 83)",0,Sjogrens syndrome,cause,DISEASE
0,26,"Pulmonary fibrosis, extrinsic compression of pulmonary arteries and granulomatous vasculitis have been reported in patients with sarcoidosis.",0,sis,"(15, 18)",0,fibrosis,effect,DISEASE
1,26,"Pulmonary fibrosis, extrinsic compression of pulmonary arteries and granulomatous vasculitis have been reported in patients with sarcoidosis.",1,is,"(90, 92)",0,granulomatous vasculitis,effect,DISEASE
0,27,Amyloid-associated cystic lung disease can occur with or without underlying CVD.,1,disease,"(31, 38)",0,Amyloid-associated cystic lung disease,cause,DISEASE
0,27,Amyloid-associated cystic lung disease can occur with or without underlying CVD.,0,Amyloid-,"(0, 8)",0,Amyloid-associated cystic lung disease,effect,DISEASE
0,28,We conclude cystic and nodular lung lesions seen in patients with primary SS can represent amyloidosis which can be associated with MALT lymphoma in some of these patients.USA.,0,amyloidosis,"(91, 102)",0,amyloidosis,cause,DISEASE
0,28,We conclude cystic and nodular lung lesions seen in patients with primary SS can represent amyloidosis which can be associated with MALT lymphoma in some of these patients.USA.,0,MALT lymphoma,"(132, 145)",0,MALT lymphoma,effect,DISEASE
0,29,"This study showed that C.¬¨‚Ä†albicans is the most prevalent yeast, but also that a variety of other yeast species can colonize the oral cavity of Sjogren's syndrome patients.",2,Sjo,"(154, 157)",0,Sjogren's syndrome,effect,DISEASE
1,29,"This study showed that C.¬¨‚Ä†albicans is the most prevalent yeast, but also that a variety of other yeast species can colonize the oral cavity of Sjogren's syndrome patients.",3,'s syndrome,"(161, 172)",0,Sjogren's syndrome,effect,DISEASE
0,31,Urinary acidification testing demonstrated distal renal tubular acidosis in 8 patients.,1,acidosis,"(64, 72)",0,renal tubular acidosis,effect,DISEASE
0,32,"These results indicate that salivary impairment in pSS, as objectively evaluated by sialometry, could be mainly associated with damage (i.e., hyperechoic bands) in established pSS.",0,salivary impairment in pSS,"(28, 54)",0,salivary impairment,cause,DISEASE
1,32,"These results indicate that salivary impairment in pSS, as objectively evaluated by sialometry, could be mainly associated with damage (i.e., hyperechoic bands) in established pSS.",0,salivary impairment in pSS,"(28, 54)",1,pSS,cause,DISEASE
0,34,This case of Sjogrens syndrome with renal disease demonstrated the increased risk of fetal and maternal adverse pregnancy outcomes.,0,This case of Sjogrens syndrome with renal disease,"(0, 49)",0,Sjogrens syndrome,cause,DISEASE
1,34,This case of Sjogrens syndrome with renal disease demonstrated the increased risk of fetal and maternal adverse pregnancy outcomes.,0,This case of Sjogrens syndrome with renal disease,"(0, 49)",1,renal disease,cause,DISEASE
0,35,"Current tobacco smoking is negatively and independently associated with SS, protecting against disease-associated humoral and cellular autoimmunity.",0,Current tobacco smoking,"(0, 23)",0,smoking,cause,CHEMICAL
0,37,"Significantly elevated dry eye symptoms and signs were found in the pSS group compared with the control group, which might be attributed to both decreased aqueous tear production and increased tear evaporation.Oslo, Oslo, Norway.Oslo, Oslo, Norway.2017.Sjogrens syndrome.",0,decreased aqueous tear production and increased tear evaporation,"(145, 209)",0,decreased aqueous tear,cause,DISEASE
0,37,"Significantly elevated dry eye symptoms and signs were found in the pSS group compared with the control group, which might be attributed to both decreased aqueous tear production and increased tear evaporation.Oslo, Oslo, Norway.Oslo, Oslo, Norway.2017.Sjogrens syndrome.",1,in the pSS group compared with the control,"(61, 103)",0,pSS,effect,DISEASE
0,38,Differences in tear cytokine levels and correlation patterns between SS dry eye and non-SS dry eye patients suggest the involvement of different inflammatory processes as causes of dry eye syndrome.Hospital.,1,dry eye,"(181, 188)",0,dry eye syndrome,effect,DISEASE
0,40,"Repetitive spontaneous abortions, thrombocytopenia, and many types of venous or arterial thrombosis are associated with antiphospholipid antibodies.",0,s,"(31, 32)",0,abortions,cause,DISEASE
0,40,"Repetitive spontaneous abortions, thrombocytopenia, and many types of venous or arterial thrombosis are associated with antiphospholipid antibodies.",0,antiphospholipid antibodies,"(120, 147)",0,antiphospholipid,effect,DISEASE
0,41,"Pulmonary abnormalities in this group of patients may result from CTD-related lung disease or treatment complications, namely drug toxicity and opportunistic infections.",0,Pulmonary abnormalities in this group of patients,"(0, 49)",0,Pulmonary abnormalities,effect,DISEASE
0,43,Pulmonary artery hypertension (PAH) can also be found in many other non rheumatologic diseases.,0,Pulmonary artery hypertension,"(0, 29)",0,Pulmonary artery hypertension,cause,DISEASE
0,45,Renal tubular acidosis (RTA) is common in adults with primary Sjogren syndrome (pSS) but to date this condition has only been identified in 12 pediatric cases of pSS.,0,acidosis,"(14, 22)",0,Renal tubular acidosis,cause,DISEASE
0,46,Pulmonary artery hypertension is an infrequent accompaniment of rheumatologic diseases.,0,Pulmonary artery hypertension,"(0, 29)",0,Pulmonary artery hypertension,cause,DISEASE
0,46,Pulmonary artery hypertension is an infrequent accompaniment of rheumatologic diseases.,1,rhe,"(64, 67)",0,rheumatologic diseases,effect,DISEASE
1,46,Pulmonary artery hypertension is an infrequent accompaniment of rheumatologic diseases.,2,diseases,"(78, 86)",0,rheumatologic diseases,effect,DISEASE
0,49,Pulmonary hypertension is frequently associated with atrial septal defect and various connective tissue disorders.,0,Pulmonary hypertension,"(0, 22)",0,Pulmonary hypertension,cause,DISEASE
0,50,"Redness, dryness, pain, and vision loss might be signs of ocular disease in a patient with connective tissue disease.",0,ness,"(3, 7)",0,Redness,effect,DISEASE
0,52,"NMOSD-SS patients have worse visual impairment, and they are more vulnerable to relapse than NMOSD-non SS patients, and the vision is lack of recovery for NMOSD-SS with recurrent eyes or the worst vision of onset less than 0.1.Immunosuppressive drugs can reduce the recurrence of NMOSD-SS relapse.Beijing 100730, China.10.3760/cma.j.issn.0376-2491.2017.11.007.1120 patients.",0,visual impairment,"(29, 46)",0,visual impairment,effect,DISEASE
0,53,Renal dysfunction is usually isolated but can be severe.,0,Renal dysfunction,"(0, 17)",0,Renal dysfunction,cause,DISEASE
0,54,Fatigue in primary SS clearly differs from ordinary tiredness.,0,Fatigue in primary SS,"(0, 21)",0,Fatigue,cause,DISEASE
1,54,Fatigue in primary SS clearly differs from ordinary tiredness.,0,Fatigue in primary SS,"(0, 21)",1,SS,cause,CHEMICAL
0,54,Fatigue in primary SS clearly differs from ordinary tiredness.,0,ordinary tiredness,"(43, 61)",0,tiredness,effect,DISEASE
0,55,"Fetal complications included spontaneous abortion, stillbirth, neonatal deaths, and intrauterine growth retardation.",1,deaths,"(72, 78)",0,deaths,effect,DISEASE
1,55,"Fetal complications included spontaneous abortion, stillbirth, neonatal deaths, and intrauterine growth retardation.",2,retardation,"(104, 115)",0,intrauterine growth retardation,effect,DISEASE
0,56,Gout was associated with more than 1.7-fold higher risk of incident SS in adults 65 years or older.,0,Gout,"(0, 4)",0,Gout,cause,DISEASE
0,58,"Antibodies to SP1, CA6 and PSP occur in some patients with idiopathic dry eyes.",0,and PSP occur in some patients with idiopathic dry eyes,"(23, 78)",0,PSP,effect,DISEASE
1,58,"Antibodies to SP1, CA6 and PSP occur in some patients with idiopathic dry eyes.",0,and PSP occur in some patients with idiopathic dry eyes,"(23, 78)",1,idiopathic dry,effect,DISEASE
0,59,"LIPG associated with BMI, fatty liver, and coronary risk factors was a clinical manifestation of metabolic syndrome.Nagasaki, Japan.",0,", fatty liver","(24, 37)",0,fatty liver,cause,DISEASE
0,59,"LIPG associated with BMI, fatty liver, and coronary risk factors was a clinical manifestation of metabolic syndrome.Nagasaki, Japan.",0,LIPG,"(0, 4)",0,LIPG,effect,CHEMICAL
0,60,Ischemic optic neuropathy is characterized by acute-onset and progressive binocular visual impairment as a consequence of occlusion of the small vessels of the optic nerves due to immune complex vasculitis.,1,immune complex vasculitis,"(180, 205)",0,vasculitis,cause,DISEASE
0,60,Ischemic optic neuropathy is characterized by acute-onset and progressive binocular visual impairment as a consequence of occlusion of the small vessels of the optic nerves due to immune complex vasculitis.,0,Ischemic optic neuropathy,"(0, 25)",0,Ischemic optic neuropathy,effect,DISEASE
1,60,Ischemic optic neuropathy is characterized by acute-onset and progressive binocular visual impairment as a consequence of occlusion of the small vessels of the optic nerves due to immune complex vasculitis.,1,acute-onset and progressive binocular visual impairment,"(46, 101)",0,acute-onset,effect,DISEASE
2,60,Ischemic optic neuropathy is characterized by acute-onset and progressive binocular visual impairment as a consequence of occlusion of the small vessels of the optic nerves due to immune complex vasculitis.,1,acute-onset and progressive binocular visual impairment,"(46, 101)",1,binocular visual impairment,effect,DISEASE
3,60,Ischemic optic neuropathy is characterized by acute-onset and progressive binocular visual impairment as a consequence of occlusion of the small vessels of the optic nerves due to immune complex vasculitis.,3,of the optic nerves,"(153, 172)",0,occlusion of the small vessels of the optic nerves,effect,DISEASE
0,61,"An increased frequency of dry eye disease was found to occur in patients with migraine, which might suggest that migraine headaches are related to dry eye disease.",0,migraine headaches,"(113, 131)",0,migraine headaches,cause,DISEASE
0,62,Renal tubular acidosis is a common cause of hypokalemia which can be idiopathic or secondary to systemic disorders such as Sjogren's syndrome.,0,Renal tubular acidosis,"(0, 22)",0,Renal tubular acidosis,cause,DISEASE
0,62,Renal tubular acidosis is a common cause of hypokalemia which can be idiopathic or secondary to systemic disorders such as Sjogren's syndrome.,0,hypokalemia,"(44, 55)",0,hypokalemia,effect,DISEASE
0,64,"Chronic fatigue syndrome (CFS) is a heterogeneous disease which presents with pronounced disabling fatigue, sleep disturbances, and cognitive impairment that negatively affects patients' functional capability.",0,Chronic fatigue syndrome,"(0, 24)",0,fatigue syndrome,cause,DISEASE
0,65,The results of the study suggest the presence of a minor cognitive dysfunction in patients with pSS without symptoms of CNS involvement or mental disorder.,1,CNS involvement or mental disorder,"(120, 154)",0,mental disorder,cause,DISEASE
0,66,"Pulmonary arterial hypertension (PAH) is an important and severe complication, which is encountered in many collagen tissue disorders.",0,Pulmonary arterial hypertension,"(0, 31)",0,Pulmonary arterial hypertension,cause,DISEASE
0,68,These results from a tertiary referral-based cohort demonstrate that primary SS frequently is associated with ocular and systemic complications.,0,primary SS,"(69, 79)",0,SS,cause,CHEMICAL
0,69,"Sjogrens syndrome, particularly with moderate to severe dry eye, is frequent in patients with mixed connective tissue disease.",0,Sjogrens syndrome,"(0, 17)",0,Sjogrens syndrome,effect,DISEASE
0,71,Hepatitis C virus serology was negative in all patients and none had IgA deficiency.,2,none had IgA deficiency,"(60, 83)",0,IgA deficiency,effect,DISEASE
0,72,Carpal tunnel syndrome (54%) and axonal sensorimotor neuropathy (22%) were the most common.,0,Carpal tunnel,"(0, 13)",0,Carpal tunnel syndrome,effect,DISEASE
0,74,"In this open-label study, abatacept treatment is effective, safe and well tolerated, and results in improved disease activity, laboratory parameters, fatigue and HR-QoL in patients with early and active pSS.",1,", laboratory parameters, fatigue and HR-QoL in patients with early and active pSS","(125, 206)",0,fatigue,effect,DISEASE
0,75,Transplacental acquisition of anti-Ro antibodies has been associated with external hydrocephalus.,0,external hydrocephalus,"(74, 96)",0,hydrocephalus,effect,DISEASE
0,76,"Reduced tear lacritin levels in SS patients are highly correlated with clinical signs of dry eye, as well as decreased NFD and NFL.",0,Reduced tear lacritin levels in SS,"(0, 34)",0,SS,effect,CHEMICAL
0,78,Our data clearly demonstrate that systemic activation of innate immunity accelerates sialoadenitis in a mouse model for SS-like disease.,1,sialoadenitis,"(85, 98)",0,sialoadenitis,effect,DISEASE
1,78,Our data clearly demonstrate that systemic activation of innate immunity accelerates sialoadenitis in a mouse model for SS-like disease.,3,disease,"(128, 135)",0,SS-like disease,effect,DISEASE
0,79,Pulmonary arterial hypertension (PAH) was revealed after the treatment with diuretics.,0,Pulmonary arterial hypertension,"(0, 31)",0,Pulmonary arterial hypertension,cause,DISEASE
0,80,"Pain, depression and daytime sleepiness scores were closely associated with both physical and mental fatigue (all p ‚Äö√¢¬ß 0.0001).",0,mental fatigue,"(94, 108)",0,fatigue,effect,DISEASE
0,82,"Sjogrens syndrome showed significant gut dysbiosis compared to controls and environmental dry eye syndrome, while dry eye patients showed compositional changes of gut microbiome somewhere in between Sjogrens syndrome and controls.",0,Sjogrens syndrome,"(0, 17)",0,Sjogrens syndrome,cause,DISEASE
0,83,Acidosis correction treatment aims to prevent the progression of the disorder and preserve renal function.10.31053/1853.0605.v75.n2.19161.,0,Acidosis correction treatment,"(0, 29)",0,Acidosis,cause,DISEASE
0,84,"Sensory peripheral neuropathy is common among patients with Sjogren syndrome and is associated with the presence of anti-Ro and anti-La when determined by immunodiffusion.Oklahoma City, OK, USA.diseasesof parotid glands in patients with Sjogrens syndrome: A pilot study.",0,Sensory peripheral neuropathy,"(0, 29)",0,peripheral neuropathy,cause,DISEASE
0,85,"Results of this study suggest that cognitive dysfunction is quite prevalent in PSS patients without being associated with studied antibodies.Australia, Ltd.Ankara, Turkey.",0,dysfunction,"(45, 56)",0,cognitive dysfunction,effect,DISEASE
1,85,"Results of this study suggest that cognitive dysfunction is quite prevalent in PSS patients without being associated with studied antibodies.Australia, Ltd.Ankara, Turkey.",1,PSS patients,"(79, 91)",0,PSS,effect,CHEMICAL
0,87,PLCDD is characterized by multiple cystic changes with nodules in both lungs and can be easily complicated by lymphoid diseases such as Sjogren's syndrome.,0,lymphoid diseases such as Sjogren's syndrome,"(110, 154)",0,lymphoid diseases,cause,DISEASE
1,87,PLCDD is characterized by multiple cystic changes with nodules in both lungs and can be easily complicated by lymphoid diseases such as Sjogren's syndrome.,0,lymphoid diseases such as Sjogren's syndrome,"(110, 154)",1,Sjogren's syndrome,cause,DISEASE
0,87,PLCDD is characterized by multiple cystic changes with nodules in both lungs and can be easily complicated by lymphoid diseases such as Sjogren's syndrome.,0,PLCDD is characterized,"(0, 22)",0,PLCDD,effect,CHEMICAL
0,89,Hypothyroidism was associated in 70% patients.,0,Hypothyroidism,"(0, 14)",0,Hypothyroidism,cause,DISEASE
0,90,"Fatigue, sleepiness, anxiety and depression symptoms, and sleep onset latency were significantly greater in pSS patients than controls.",0,sleepiness,"(9, 19)",0,sleepiness,effect,DISEASE
1,90,"Fatigue, sleepiness, anxiety and depression symptoms, and sleep onset latency were significantly greater in pSS patients than controls.",1,anxiety,"(21, 28)",0,anxiety,effect,DISEASE
0,91,"Higher ADMA levels suggest the presence of endothelial dysfunction and sub-clinical atherosclerosis in pSS patients, even in the case of a normal CFR.",0,Higher ADMA levels,"(0, 18)",0,ADMA,cause,CHEMICAL
0,91,"Higher ADMA levels suggest the presence of endothelial dysfunction and sub-clinical atherosclerosis in pSS patients, even in the case of a normal CFR.",0,endothelial dysfunction and sub-clinical atherosclerosis in pSS patients,"(43, 115)",0,atherosclerosis,effect,DISEASE
1,91,"Higher ADMA levels suggest the presence of endothelial dysfunction and sub-clinical atherosclerosis in pSS patients, even in the case of a normal CFR.",0,endothelial dysfunction and sub-clinical atherosclerosis in pSS patients,"(43, 115)",1,pSS,effect,DISEASE
0,92,"Interventions targeted at sleep difficulties in pSS, such as cognitive behavioural therapy for insomnia and nocturnal humidification devices, have the potential to improve quality of life in this patient group and warrant further investigation.Society for Rheumatology.",0,sleep difficulties in pSS,"(26, 51)",0,sleep difficulties,cause,DISEASE
1,92,"Interventions targeted at sleep difficulties in pSS, such as cognitive behavioural therapy for insomnia and nocturnal humidification devices, have the potential to improve quality of life in this patient group and warrant further investigation.Society for Rheumatology.",0,sleep difficulties in pSS,"(26, 51)",1,pSS,cause,DISEASE
0,95,"Neurologic disease, when present, is a strong contributor to disease activity and damage.",0,Neurologic disease,"(0, 18)",0,Neurologic disease,cause,DISEASE
0,96,"Dry mouth and dry eyes are frequently proffered as presenting symptoms, but nonspecific symptoms such as malaise and fatigue, and extraglandular manifestations like purpura, polyneuropathy and arthritis are also often present.",2,fatigue,"(117, 124)",0,fatigue,cause,DISEASE
0,97,Long-term application of AS eye drops was found to be an effective and apparently safe treatment for SS dry eye.,0,an effective and apparently safe treatment for SS dry eye,"(54, 111)",0,SS dry,effect,DISEASE
0,99,"Fatigue, especially somatic fatigue, is the main problem for pSS patients.",0,Fatigue,"(0, 7)",0,Fatigue,cause,DISEASE
0,100,"Our findings indicate that daily use of the device alleviated oral dryness, discomfort, and some complications of xerostomia, such as speech and sleeping difficulties, and increased salivary output.",2,xerostomia,"(114, 124)",0,xerostomia,effect,DISEASE
0,101,"Depression, neuroticism, and fibromyalgia play a major role in primary SS-associated fatigue and should be addressed in clinical practice, with active collaboration between rheumatologists and mental health professionals.",0,Depression,"(0, 10)",0,Depression,cause,DISEASE
0,102,"This study determined disease activity levels, PASS and MCII of ESSDAI and ESSPRI.",1,PASS,"(47, 51)",0,PASS,effect,DISEASE
0,103,"Diarrhea, which was the presenting symptom in > 90% of celiac disease patients before 1981, is now the chief complaint in < 40%.",0,Diarrhea,"(0, 8)",0,Diarrhea,cause,DISEASE
0,104,Arterial stiffness is one of the earliest detectable manifestations of adverse structural and functional changes within the vessel wall.,0,Arterial stiffness,"(0, 18)",0,Arterial stiffness,cause,DISEASE
0,109,"Facial nerve palsy, aseptic meningitis or polyneuropathy are among the more frequent neurological features.",1,aseptic meningitis,"(20, 38)",0,aseptic meningitis,cause,DISEASE
1,109,"Facial nerve palsy, aseptic meningitis or polyneuropathy are among the more frequent neurological features.",2,polyneuropathy,"(42, 56)",0,polyneuropathy,cause,DISEASE
0,110,"13% of patients with primary SS develop a potentially life-threatening systemic disease (mainly lymphoma, but also severe internal organ involvements including nervous system, the lungs and the kidneys).",0,threatening systemic disease,"(59, 87)",0,systemic disease,effect,DISEASE
0,112,"Renal involvement of Sjogrens syndrome may lead to tubulointerstitial disease, whereas secondary glomerulopathies such as anti-neutrophil cytoplasmic antibody (ANCA)-related pauci-immune crescentic glomerulonephritis are rarely observed.",0,Renal involvement of Sjogrens syndrome,"(0, 38)",0,Sjogrens syndrome,cause,DISEASE
0,112,"Renal involvement of Sjogrens syndrome may lead to tubulointerstitial disease, whereas secondary glomerulopathies such as anti-neutrophil cytoplasmic antibody (ANCA)-related pauci-immune crescentic glomerulonephritis are rarely observed.",0,tubulointerstitial disease,"(51, 77)",0,tubulointerstitial disease,effect,DISEASE
0,113,The incidence of retinopathy among patients using antimalarial medications as observed in this study was relatively high.,1,retinopathy among patients using antimalarial,"(17, 62)",0,retinopathy,effect,DISEASE
0,114,Dry eye disease (DED) is a multifactorial disease of the tears and ocular surface that causes tear film instability with potential damage to the ocular surface.,0,Dry eye disease,"(0, 15)",0,Dry eye disease,cause,DISEASE
0,115,"Patients with pSS can have successful pregnancies, which might be followed by a mild relapse.",0,pSS,"(14, 17)",0,pSS,cause,DISEASE
0,117,"Rebamipide ophthalmic suspension was effective in treating KCS of patients with SS, probably by increasing mucins and suppressing inflammatory cytokines.",0,Rebamipide ophthalmic suspension was effective in treating KCS of patients with SS,"(0, 82)",0,Rebamipide,effect,CHEMICAL
1,117,"Rebamipide ophthalmic suspension was effective in treating KCS of patients with SS, probably by increasing mucins and suppressing inflammatory cytokines.",0,Rebamipide ophthalmic suspension was effective in treating KCS of patients with SS,"(0, 82)",1,KCS,effect,DISEASE
2,117,"Rebamipide ophthalmic suspension was effective in treating KCS of patients with SS, probably by increasing mucins and suppressing inflammatory cytokines.",0,Rebamipide ophthalmic suspension was effective in treating KCS of patients with SS,"(0, 82)",2,SS,effect,DISEASE
0,119,It is hypothesized that the restoration of normal menses was caused by reduced inflammation in the ovarian tissue and supports the hypothesis that the gut immune system can influence autoimmune disease and inflammation.jfeuerstein@stamhealth.org,0,reduced inflammation in the ovarian tissue,"(71, 113)",0,inflammation,cause,DISEASE
0,123,"Infection or drug-induced pulmonary disease was considered unlikely, and the interstitial pneumonia was considered an extra-glandular presentation of Sjogrens syndrome.",0,Infection,"(0, 9)",0,Infection,cause,DISEASE
1,123,"Infection or drug-induced pulmonary disease was considered unlikely, and the interstitial pneumonia was considered an extra-glandular presentation of Sjogrens syndrome.",1,induced pulmonary disease was considered,"(18, 58)",0,drug-induced pulmonary disease,cause,DISEASE
0,123,"Infection or drug-induced pulmonary disease was considered unlikely, and the interstitial pneumonia was considered an extra-glandular presentation of Sjogrens syndrome.",0,drug,"(13, 17)",0,drug-induced pulmonary disease,effect,DISEASE
1,123,"Infection or drug-induced pulmonary disease was considered unlikely, and the interstitial pneumonia was considered an extra-glandular presentation of Sjogrens syndrome.",2,pneumonia was considered an,"(90, 117)",0,interstitial pneumonia,effect,DISEASE
0,125,"Patients frequently develop serious complications including lymphoma, pulmonary dysfunction, neuropathy, vasculitis, and debilitating fatigue.",1,"lymphoma, pulmonary dysfunction, neuropathy, vasculitis, and debilitating fatigue","(60, 141)",0,including lymphoma,effect,DISEASE
1,125,"Patients frequently develop serious complications including lymphoma, pulmonary dysfunction, neuropathy, vasculitis, and debilitating fatigue.",1,"lymphoma, pulmonary dysfunction, neuropathy, vasculitis, and debilitating fatigue","(60, 141)",1,pulmonary dysfunction,effect,DISEASE
2,125,"Patients frequently develop serious complications including lymphoma, pulmonary dysfunction, neuropathy, vasculitis, and debilitating fatigue.",1,"lymphoma, pulmonary dysfunction, neuropathy, vasculitis, and debilitating fatigue","(60, 141)",2,neuropathy,effect,DISEASE
3,125,"Patients frequently develop serious complications including lymphoma, pulmonary dysfunction, neuropathy, vasculitis, and debilitating fatigue.",1,"lymphoma, pulmonary dysfunction, neuropathy, vasculitis, and debilitating fatigue","(60, 141)",3,vasculitis,effect,DISEASE
4,125,"Patients frequently develop serious complications including lymphoma, pulmonary dysfunction, neuropathy, vasculitis, and debilitating fatigue.",1,"lymphoma, pulmonary dysfunction, neuropathy, vasculitis, and debilitating fatigue","(60, 141)",4,fatigue,effect,DISEASE
0,126,"PET can also help in the diagnosis of lymphoma, even if inflammatory lymph nodes can be frequently observed in SS patients.Jun 25.study.",0,inflammatory lymph nodes can be frequently observed in SS patients,"(56, 122)",0,SS,cause,CHEMICAL
0,126,"PET can also help in the diagnosis of lymphoma, even if inflammatory lymph nodes can be frequently observed in SS patients.Jun 25.study.",0,PET can also help in the diagnosis of lymphoma,"(0, 46)",0,PET,effect,CHEMICAL
0,129,"In this exploratory study, frontal region WM microstructure alterations accompanied cognitive symptoms and were associated with mild cognitive impairment in PSS.",0,mild cognitive impairment in PSS,"(128, 160)",0,cognitive impairment,effect,DISEASE
1,129,"In this exploratory study, frontal region WM microstructure alterations accompanied cognitive symptoms and were associated with mild cognitive impairment in PSS.",0,mild cognitive impairment in PSS,"(128, 160)",1,PSS,effect,CHEMICAL
0,130,Results suggest B cells from salivary tissue of Sjogrens syndrome mice are similar to those from secondary immune sites in terms of proliferative and secretory capacity.,0,salivary tissue of Sjogrens syndrome,"(29, 65)",0,Sjogrens syndrome,cause,DISEASE
